Pβ2,Pα1,Pβ1,Pα2,P3,V,α,β
0.01347,-0.05555,-0.04882,0.0404,0.01347,10.094209,-30,-20
0.01178,-0.05724,-0.04882,0.03872,0.01178,10.094209,-30,-20
0.0101,-0.05724,-0.0505,0.03872,0.01178,10.094209,-30,-20
0.01178,-0.05555,-0.05219,0.03872,0.01347,10.094209,-30,-20
0.0101,-0.05724,-0.0505,0.03872,0.01178,10.094209,-30,-20
0.01178,-0.05892,-0.04714,0.0404,0.01178,10.094209,-30,-20
0.0101,-0.05892,-0.04882,0.0404,0.01347,10.094209,-30,-20
0.00842,-0.0606,-0.0505,0.03872,0.01347,10.094209,-30,-20
0.01178,-0.05724,-0.04714,0.0404,0.01515,10.094209,-30,-20
0.01347,-0.05724,-0.04882,0.0404,0.01347,10.094209,-30,-20
-0.00505,-0.05387,-0.0404,0.04545,0.01178,10.153649,-30,-10
-0.00505,-0.0505,-0.03703,0.04882,0.01347,10.153649,-30,-10
-0.00505,-0.05219,-0.03703,0.04714,0.01347,10.153649,-30,-10
-0.00337,-0.05219,-0.03703,0.04714,0.01347,10.153649,-30,-10
-0.00505,-0.05219,-0.03703,0.04882,0.01347,10.153649,-30,-10
-0.00505,-0.05219,-0.03703,0.04882,0.01347,10.153649,-30,-10
-0.00337,-0.05219,-0.03535,0.04882,0.01347,10.153649,-30,-10
-0.00337,-0.05219,-0.03703,0.04714,0.01347,10.153649,-30,-10
-0.00168,-0.0505,-0.03535,0.04882,0.01683,10.153649,-30,-10
-0.00505,-0.05387,-0.03703,0.04545,0.01178,10.153649,-30,-10
-0.0202,-0.04545,-0.0202,0.0505,0.0202,10.106054,-30,0
-0.02525,-0.04714,-0.02188,0.04882,0.01683,10.106054,-30,0
-0.02188,-0.04882,-0.02188,0.04882,0.01852,10.106054,-30,0
-0.02357,-0.04714,-0.02188,0.04882,0.01852,10.106054,-30,0
-0.02188,-0.04714,-0.01852,0.0505,0.01683,10.106054,-30,0
-0.0202,-0.04545,-0.0202,0.0505,0.01852,10.106054,-30,0
-0.0202,-0.04545,-0.0202,0.05219,0.01852,10.106054,-30,0
-0.01852,-0.04545,-0.0202,0.0505,0.0202,10.106054,-30,0
-0.0202,-0.04545,-0.02357,0.0505,0.01852,10.106054,-30,0
-0.0202,-0.04545,-0.0202,0.0505,0.0202,10.106054,-30,0
-0.02862,-0.04545,0.0,0.0505,0.02525,10.159734,-30,10
-0.0303,-0.04545,-0.00168,0.04882,0.02357,10.159734,-30,10
-0.0303,-0.04714,0.0,0.0505,0.02357,10.159734,-30,10
-0.0303,-0.04714,-0.00168,0.04882,0.02188,10.159734,-30,10
-0.02862,-0.04545,0.0,0.0505,0.02188,10.159734,-30,10
-0.02862,-0.04714,0.0,0.04882,0.02357,10.159734,-30,10
-0.02862,-0.04209,0.0,0.04882,0.02357,10.159734,-30,10
-0.0303,-0.04545,-0.00337,0.04882,0.02188,10.159734,-30,10
